Entity,Label,Count,Average_Score
quartzite,MINERAIS,1,"0,9621"
schist,NAO_CONSOLID,1,"0,7860"
crack,ESTRUTURA_FISICA,1,"0,8909"
fluvial-to-alluvial,PALEOAMBIENTE,1,"0,7420"
molluskshell,FOSSEIS,1,"0,8112"
Siltstone,ROCHA,1,"0,9928"
"chert,",MINERAIS,1,"0,9099"
structures,ESTRUTURA_FISICA,1,"0,4570"
"anhydrites,",ROCHA,1,"0,7701"
"material,",NAO_CONSOLID,1,"0,5030"
Cameia,CAMPO,1,"0,6933"
Benguela,BACIA,1,"0,5745"
"Cambrian,",UNIDADE_CRONO,1,"0,9974"
Cretaceus,UNIDADE_CRONO,1,"0,9932"
Berriasian,UNIDADE_CRONO,1,"0,9011"
"Sergipe-Alagoas,",BACIA,1,"0,9202"
scarps,ESTRUTURA_FISICA,1,"0,8309"
"scarps,",ESTRUTURA_FISICA,1,"0,6264"
neoproterozoic,UNIDADE_CRONO,1,"0,9863"
paleoproterozoic,UNIDADE_CRONO,1,"0,7083"
fracture,ESTRUTURA_FISICA,1,"0,8497"
Borborema,FOSSEIS,1,"0,9750"
AptianAlbian,UNIDADE_CRONO,1,"0,7466"
fold,ESTRUTURA_FISICA,1,"0,5743"
Baciadoespi,BACIA,1,"0,8390"
BaciadoespiritoSanto.,BACIA,1,"0,8796"
Santo.,BACIA,1,"0,9071"
continental-,PALEOAMBIENTE,1,"0,6867"
Planktonic,FOSSEIS,1,"0,9865"
collapse,ESTRUTURA_FISICA,1,"0,6847"
"scars,",ESTRUTURA_FISICA,1,"0,9616"
Mato,CAMPO,1,"0,5151"
Cenozoic.,UNIDADE_CRONO,1,"0,9994"
"Buracica,",UNIDADE_CRONO,1,"0,4289"
7-LPA-1D-SPS,POÇO,1,"0,9881"
Pelecypoda,FOSSEIS,1,"0,8814"
Ridge,PALEOAMBIENTE,1,"0,5370"
discordance,ESTRUTURA_FISICA,1,"0,9994"
oil,FLUIDODATERRA,1,"0,6603"
1BRSA-491-SPS,POÇO,1,"0,8470"
1-BRSA491-SPS,POÇO,1,"0,9975"
superior.,UNIDADE_CRONO,1,"0,5624"
"ostracodes,",FOSSEIS,1,"0,9996"
Eoproterozoic,UNIDADE_CRONO,1,"0,9788"
"EspritoSanto,",BACIA,1,"0,6760"
mollusks.,FOSSEIS,1,"0,9771"
